,names,main_category,keywords,ratings
88,탑동광장,랜드마크,"부두 & 보드워크, 전망대 & 타워",4.0
89,휴휴암,랜드마크,즐길거리 & 랜드마크,4.625
90,샘터유원지,랜드마크,테마 파크,4.5
91,와온해변,랜드마크,해변,4.625
92,영금정,랜드마크,즐길거리 & 랜드마크,4.60655737704918
93,창원NC파크,랜드마크,아레나 & 경기장,4.85
94,평화의소녀상,랜드마크,"즐길거리 & 랜드마크, 기념비 및 동상",5.0
95,국립 등대 박물관,랜드마크,전문 박물관,4.636363636363637
96,황우지,랜드마크,지층,4.666666666666667
97,고소동 벽화마을,랜드마크,"인근 지역, 즐길거리 & 랜드마크",4.4375
98,DTC 섬유박물관,랜드마크,전문 박물관,4.4
99,김대중 노벨평화상 기념관,랜드마크,역사박물관,4.75
100,수승대관광지,랜드마크,"즐길거리 & 랜드마크, 공원",4.666666666666667
101,대전예술의전당,랜드마크,극장,4.75
102,구곡폭포,랜드마크,"물길, 폭포",4.5
103,이화원,랜드마크,"전문 박물관, 자연 & 야생동물 서식지",4.25
104,소돌아들바위공원,랜드마크,"물길, 즐길거리 & 랜드마크",4.5
105,행담도휴게소,랜드마크,즐길거리 & 랜드마크,4.5
106,견월악 목마장,랜드마크,목장,5.0
107,커피박물관 기획부,랜드마크,전문 박물관,5.0
108,돈암서원,랜드마크,기념비 및 동상,5.0
109,유.스퀘어 문화관,랜드마크,"즐길거리 & 랜드마크, 도심, 쇼핑몰",4.791666666666667
110,함주공원,랜드마크,공원,5.0
111,상주경천대,랜드마크,즐길거리 & 랜드마크,4.4
112,부산관광안내소,랜드마크,관광센터,4.444444444444445
113,신도,랜드마크,섬,4.576923076923077
114,염매시장,랜드마크,벼룩시장 & 재래시장,4.357142857142857
115,숭례문,랜드마크,"역사적인 장소, 즐길거리 & 랜드마크",4.468277945619335
116,대구향교,랜드마크,"역사적인 장소, 즐길거리 & 랜드마크",4.5
117,현대백화점 압구정본점,랜드마크,백화점,4.607142857142857
118,낙동강문화관,랜드마크,"과학박물관, 어린이 박물관",4.75
119,남한산성 역사관,랜드마크,역사박물관,4.625
120,원당종마목장,랜드마크,목장,4.671428571428572
121,재미난박물관,랜드마크,전문 박물관,4.666666666666667
122,동아대학교 박물관,랜드마크,전문 박물관,4.458333333333333
123,행복한밤마을,랜드마크,인근 지역,5.0
124,반포대교,랜드마크,브리지,4.350943396226415
125,세명 대학교,랜드마크,즐길거리 & 랜드마크,4.5
126,롯데백화점 - 광복점,랜드마크,백화점,4.6875
127,행궁동 벽화마을,랜드마크,"인근 지역, 즐길거리 & 랜드마크, 경관이 좋은 산책로",4.3625
128,속초 엑스포 타워,랜드마크,"즐길거리 & 랜드마크, 전망대 & 타워",4.366666666666666
129,예천곤충연구소 곤충생태원,랜드마크,전문 박물관,4.833333333333333
130,신북리조트,랜드마크,워터파크,4.5
131,예울마루,랜드마크,극장,4.833333333333333
132,코엑스,랜드마크,"즐길거리 & 랜드마크, 도심",4.648936170212766
133,마비정 벽화마을,랜드마크,"즐길거리 & 랜드마크, 경관이 좋은 산책로",4.5
134,봉화산,랜드마크,산,4.833333333333333
135,강릉단오문화관,랜드마크,즐길거리 & 랜드마크,4.5
136,대흥동 문화예술의거리,랜드마크,"인근 지역, 즐길거리 & 랜드마크",4.5
137,한국학 중앙연구원 장서각,랜드마크,도서관,4.0
138,진포해양테마공원,랜드마크,"군사 박물관, 경관이 좋은 산책로",4.283333333333333
139,마사박물관,박물관,전문 박물관,4.5
140,인천 글로벌 캠퍼스,박물관,대학 & 학교,5.0
141,Jeongdongjin Sculpture Park,박물관,공원,4.25
142,5·18 기념공원,박물관,"공원, 기념비 및 동상",4.693548387096774
143,천보산,박물관,산,5.0
144,뮤지엄김치간,박물관,전문 박물관,4.373333333333333
145,추리문학관,박물관,도서관,4.625
146,새연교,박물관,"즐길거리 & 랜드마크, 브리지",4.503164556962025
147,안터생태공원,박물관,공원,4.5
148,두타,박물관,백화점,4.2745098039215685
149,청계사,박물관,신성한 & 종교적인 장소,4.785714285714286
150,신미술관,박물관,아트뮤지엄,5.0
151,철도 박물관,박물관,전문 박물관,4.413043478260869
152,황지연못,박물관,물길,4.470588235294118
153,궁남지,박물관,"역사적인 장소, 물길, 공원",4.769230769230769
154,광주 시립 미술관,박물관,전문 박물관,4.517857142857143
155,정방사,박물관,신성한 & 종교적인 장소,4.785714285714286
156,주필 거미 박물관,박물관,전문 박물관,4.166666666666667
157,Boryeong City Hall,박물관,도심,4.5
158,중앙탑사적공원,박물관,"즐길거리 & 랜드마크, 공원",4.833333333333333
159,다솔사,박물관,신성한 & 종교적인 장소,4.642857142857143
160,의성마늘박물관,박물관,전문 박물관,4.666666666666667
161,거북선 모형 체험장,박물관,역사박물관,4.5
162,에이피엠 플레이스,박물관,쇼핑몰,4.526315789473684
163,Daegu Literature Museum,박물관,"전문 박물관, 아트뮤지엄, 역사박물관",4.75
164,천주교 초량성당,박물관,교회 & 성당,4.2
165,고려대학교,랜드마크,즐길거리 & 랜드마크,4.657407407407407
166,갤러리 율,랜드마크,아트갤러리,4.0
167,대관령박물관,랜드마크,전문 박물관,4.4
168,도도불가마스포츠센터,랜드마크,스포츠 컴플렉스,4.5
169,보적사,랜드마크,신성한 & 종교적인 장소,4.5
170,중미산 휴양림,랜드마크,산림,4.7
171,국순당주향로,랜드마크,맥주 양조장,5.0
172,서동 공원,랜드마크,"역사적인 장소, 공원",4.75
